,fips,province_state,country_region,confirmed,deaths,recovered,active,date,positive,negative,hospitalized,hospitalizedcurrently,hospitalizeddischarged
287,,Inner Mongolia,China,15.0,,,,20210119,289939,,,1066.0,
288,,Ningxia,China,11.0,,,,20210119,289939,,,1066.0,
289,,Xinjiang,China,10.0,,,,20210119,289939,,,1066.0,
290,,Guizhou,China,9.0,,,,20210119,289939,,,1066.0,
291,,Jilin,China,8.0,,,,20210119,289939,,,1066.0,
292,,Taiwan,Taiwan,8.0,,,,20210119,289939,,,1066.0,
293,,Hong Kong,Hong Kong,8.0,,,,20210119,289939,,,1066.0,
294,,Macau,Macau,7.0,,,,20210119,289939,,,1066.0,
295,,Qinghai,China,6.0,,,,20210119,289939,,,1066.0,
296,,Washington,US,1.0,,,,20210119,289939,,,1066.0,
297,,Illinois,US,1.0,,,,20210119,289939,,,1066.0,
298,,California,US,2.0,,,,20210119,289939,,,1066.0,
299,,Arizona,US,1.0,,,,20210119,289939,,,1066.0,
300,,,Japan,7.0,,1.0,,20210119,289939,,,1066.0,
301,,,Thailand,14.0,,5.0,,20210119,289939,,,1066.0,
302,,,South Korea,4.0,,,,20210119,289939,,,1066.0,
303,,,Singapore,7.0,,,,20210119,289939,,,1066.0,
304,,,Vietnam,2.0,,,,20210119,289939,,,1066.0,
305,,,Nepal,1.0,,,,20210119,289939,,,1066.0,
306,,,Malaysia,4.0,,,,20210119,289939,,,1066.0,
307,,Ontario,Canada,1.0,,,,20210119,289939,,,1066.0,
308,,British Columbia,Canada,1.0,,,,20210119,289939,,,1066.0,
309,,,Cambodia,1.0,,,,20210119,289939,,,1066.0,
310,,,Sri Lanka,1.0,,,,20210119,289939,,,1066.0,
311,,New South Wales,Australia,4.0,,,,20210119,289939,,,1066.0,
312,,Victoria,Australia,1.0,,,,20210119,289939,,,1066.0,
313,,Bavaria,Germany,4.0,,,,20210119,289939,,,1066.0,
314,,Hubei,China,3554.0,125.0,88.0,,20210119,289939,,,1066.0,
315,,Zhejiang,China,296.0,,3.0,,20210119,289939,,,1066.0,
316,,Guangdong,China,277.0,,5.0,,20210119,289939,,,1066.0,
317,,Hu,China,221.0,,,,20210119,289939,,,1066.0,
318,,He,China,206.0,2.0,1.0,,20210119,289939,,,1066.0,
319,,Anhui,China,152.0,,2.0,,20210119,289939,,,1066.0,
320,,Chongqing,China,147.0,,1.0,,20210119,289939,,,1066.0,
321,,Shandong,China,130.0,,1.0,,20210119,289939,,,1066.0,
322,,Beijing,China,111.0,1.0,4.0,,20210119,289939,,,1066.0,
323,,Jiangxi,China,109.0,,3.0,,20210119,289939,,,1066.0,
324,,Sichuan,China,108.0,1.0,1.0,,20210119,289939,,,1066.0,
325,,Jiangsu,China,99.0,,1.0,,20210119,289939,,,1066.0,
326,,Shanghai,China,96.0,1.0,5.0,,20210119,289939,,,1066.0,
327,,Fujian,China,84.0,,,,20210119,289939,,,1066.0,
328,,Guangxi,China,58.0,,2.0,,20210119,289939,,,1066.0,
329,,Shaanxi,China,56.0,,,,20210119,289939,,,1066.0,
330,,Yun,China,55.0,,,,20210119,289939,,,1066.0,
331,,Hebei,China,48.0,1.0,,,20210119,289939,,,1066.0,
332,,Hai,China,43.0,1.0,,,20210119,289939,,,1066.0,
333,,Liaoning,China,39.0,,1.0,,20210119,289939,,,1066.0,
334,,Heilongjiang,China,38.0,1.0,,,20210119,289939,,,1066.0,
335,,Tianjin,China,27.0,,,,20210119,289939,,,1066.0,
336,,Shanxi,China,27.0,,1.0,,20210119,289939,,,1066.0,
337,,Gansu,China,24.0,,,,20210119,289939,,,1066.0,
338,,Inner Mongolia,China,16.0,,,,20210119,289939,,,1066.0,
339,,Xinjiang,China,13.0,,,,20210119,289939,,,1066.0,
340,,Ningxia,China,12.0,,,,20210119,289939,,,1066.0,
341,,Hong Kong,Hong Kong,10.0,,,,20210119,289939,,,1066.0,
342,,Guizhou,China,9.0,,1.0,,20210119,289939,,,1066.0,
343,,Jilin,China,9.0,,,,20210119,289939,,,1066.0,
344,,Taiwan,Taiwan,8.0,,,,20210119,289939,,,1066.0,
345,,Macau,Macau,7.0,,,,20210119,289939,,,1066.0,
346,,Qinghai,China,6.0,,,,20210119,289939,,,1066.0,
347,,Washington,US,1.0,,,,20210119,289939,,,1066.0,
348,,Illinois,US,1.0,,,,20210119,289939,,,1066.0,
349,,California,US,2.0,,,,20210119,289939,,,1066.0,
350,,Arizona,US,1.0,,,,20210119,289939,,,1066.0,
351,,,Japan,7.0,,1.0,,20210119,289939,,,1066.0,
352,,,Thailand,14.0,,5.0,,20210119,289939,,,1066.0,
353,,,South Korea,4.0,,,,20210119,289939,,,1066.0,
354,,,Singapore,7.0,,,,20210119,289939,,,1066.0,
355,,,Vietnam,2.0,,,,20210119,289939,,,1066.0,
356,,,Nepal,1.0,,,,20210119,289939,,,1066.0,
357,,,Malaysia,7.0,,,,20210119,289939,,,1066.0,
358,,Ontario,Canada,1.0,,,,20210119,289939,,,1066.0,
359,,British Columbia,Canada,1.0,,,,20210119,289939,,,1066.0,
360,,,Cambodia,1.0,,,,20210119,289939,,,1066.0,
361,,,Sri Lanka,1.0,,,,20210119,289939,,,1066.0,
362,,New South Wales,Australia,4.0,,,,20210119,289939,,,1066.0,
363,,Victoria,Australia,1.0,,,,20210119,289939,,,1066.0,
364,,Bavaria,Germany,4.0,,,,20210119,289939,,,1066.0,
365,,,Finland,1.0,,,,20210119,289939,,,1066.0,
366,,,United Arab Emirates,4.0,,,,20210119,289939,,,1066.0,
367,,Hubei,China,4903.0,162.0,90.0,,20210119,289939,,,1066.0,
368,,Zhejiang,China,428.0,,4.0,,20210119,289939,,,1066.0,
369,,Guangdong,China,354.0,,10.0,,20210119,289939,,,1066.0,
370,,He,China,278.0,2.0,2.0,,20210119,289939,,,1066.0,
371,,Hu,China,277.0,,2.0,,20210119,289939,,,1066.0,
372,,Anhui,China,200.0,,2.0,,20210119,289939,,,1066.0,
373,,Chongqing,China,182.0,,1.0,,20210119,289939,,,1066.0,
374,,Jiangxi,China,162.0,,5.0,,20210119,289939,,,1066.0,
375,,Shandong,China,158.0,,1.0,,20210119,289939,,,1066.0,
376,,Sichuan,China,142.0,1.0,1.0,,20210119,289939,,,1066.0,
377,,Jiangsu,China,129.0,,1.0,,20210119,289939,,,1066.0,
378,,Beijing,China,114.0,1.0,4.0,,20210119,289939,,,1066.0,
